,__id_left,__id_right,match_score,match_rank,ADDRESS,Name
0,0_left,52_right,0.268563678,1,6 SANDRINGHAM ROAD,6 SANDRINGHAM ROAD
1,1_left,61_right,0.351583658,1,REDBRIDGE SCHOOL AMS (FENCE),REDBRIDGE SCHOOL FENCE
2,2_left,13_right,0.26601029,1,64 BURGESS ROAD,64 BURGESS ROAD 1
3,3_left,26_right,0.23200001,1,485 MILLBROOK ROAD,485 MILLBROOK ROAD
4,4_left,43_right,0.619517824,1,REGENTS PARK JUNCTION,REGENTS PARK JUNCTION
5,5_left,45_right,0.196319766,1,2 ROMSEY ROAD,2 ROMSEY ROAD
6,6_left,19_right,0.279227522,1,CRANBURY PLACE,CRANBURY PLACE
7,7_left,4_right,0.443254409,1,72 BEVOIS VALLEY,72 BEVOIS VALLEY ROAD
8,8_left,8_right,0.226721261,1,BRINTONS ROAD 1,BRINTONS ROAD 1
9,9_left,9_right,0.220851552,1,BRINTONS ROAD 2,BRINTONS ROAD 2
10,10_left,10_right,0.236755594,1,BRINTONS ROAD 3,BRINTONS ROAD 3
11,11_left,7_right,0.238460678,1,206 BITTERNE ROAD,206 BITTERNE ROAD
12,12_left,5_right,0.247599273,1,BITTERNE LIBRARY,"BITTERNE LIBRARY, BITTERNE ROAD"
13,13_left,41_right,0.23200001,1,54 REDBRIDGE ROAD,54 REDBRIDGE ROAD
14,14_left,42_right,0.23200001,1,57 REDBRIDGE ROAD,57 REDBRIDGE ROAD
63,17_left,15_right,0.315791189,1,6-9 CANUTE ROAD,6-9 CANUTE ROAD
64,18_left,33_right,0.278598011,1,151 PAYNES ROAD,151 PAYNES ROAD
65,19_left,56_right,0.378074439,1,102 ST ANDREWS ROAD,102 ST ANDREWS ROAD
66,20_left,23_right,0.173033081,1,305 MILLBROOK ROAD,305 MILLBROOK ROAD (HOUSE)
67,21_left,40_right,0.311035606,1,PRINCES COURT,PRINCES COURT
68,22_left,57_right,0.388108772,1,107 ST ANDREWS ROAD,107 ST. ANDREWS ROAD
71,23_left,14_right,-0.207527358,3,SW HOUSE,CANUTE ROAD (SOUTH WESTERN HOUSE)
73,24_left,24_right,-0.004477264,1,367A MILLBROOK ROAD,367 MILLBROOK ROAD
120,25_left,50_right,0.163291212,1,142 ROMSEY ROAD,142 ROMSEY ROAD 1
121,26_left,27_right,0.23200001,1,539 MILLBROOK ROAD,539 MILLBROOK ROAD
122,27_left,25_right,0.150411027,1,LADBROKES MILLBROOK ROAD,433-435 MILLBROOK ROAD (LADBROKES)
125,29_left,58_right,0.287736606,1,TOWN QUAY ROAD,TOWN QUAY
173,30_left,48_right,0.212223808,1,102 ROMSEY ROAD,102 ROMSEY ROAD
174,31_left,31_right,0.258529344,1,208 NORTHAM ROAD,208 NORTHAM ROAD
175,32_left,32_right,0.258529344,1,222 NORTHAM ROAD,222 NORTHAM ROAD
176,33_left,12_right,0.401459426,1,44B BURGESS ROAD,44B BURGESS ROAD
177,34_left,49_right,0.222258141,1,134 ROMSEY ROAD,134 ROMSEY ROAD
178,35_left,22_right,0.155517803,1,M271,M271
179,36_left,18_right,0.199562415,1,CONISTON ROAD,CONISTON ROAD
185,39_left,35_right,0.307368093,1,24 PORTSMOUTH ROAD,24 PORTSMOUTH ROAD
186,40_left,36_right,0.307368093,1,35 PORTSMOUTH ROAD,35 PORTSMOUTH ROAD
187,41_left,20_right,0.132218803,1,2 DORSET STREET,2 DORSET ROAD
194,42_left,3_right,0.390071201,1,30 ADDIS SQUARE,30 ADDIS SQUARE
195,43_left,38_right,0.246789927,1,263A PORTSWOOD ROAD,263A PORTSWOOD ROAD
199,45_left,37_right,-0.147129027,1,168 PORTSWOOD ROAD (INT.FOOD),168-174 PORTSWOOD ROAD (INTERNATIONAL STORES)
246,46_left,11_right,0.466553409,1,8 THE BROADWAY,8 THE BROADWAY
247,47_left,29_right,0.324977219,1,14 NEW ROAD,14 NEW ROAD
248,48_left,46_right,0.222258141,1,13 ROMSEY ROAD,13 ROMSEY ROAD
249,49_left,47_right,0.222258141,1,23 ROMSEY ROAD,23 ROMSEY ROAD
250,50_left,51_right,0.222258141,1,150 ROMSEY ROAD,150 ROMSEY ROAD
251,51_left,16_right,0.293978481,1,UNION CASTLE HOUSE (2),100 CANUTE ROAD (UNION CASTLE HOUSE 2)
252,52_left,30_right,0.278598011,1,132 NEWTON ROAD,132 NEWTON ROAD
253,53_left,28_right,0.324977219,1,4 NEW ROAD,4 NEW ROAD
301,55_left,6_right,0.160054594,1,166A BITTERNE ROAD WEST,166A BITTERNE ROAD
302,56_left,53_right,0.430096087,1,38 SHIRLEY HIGH STREET,38 SHIRLEY HIGH STREET
303,57_left,55_right,0.357320966,1,"SALISBURY ARMS, SHIRLEY HIGH ST",126 SHIRLEY HIGH STREET (SALISBURY ARMS)
306,58_left,54_right,0.492770103,1,"WINDSOR CASTLE PUB, 95 SHIRLEY HIGH ST",95 SHIRLEY HIGH STREET (WINDSOR CASTLE)
309,59_left,21_right,0.036880539,1,2 GOVER ROAD (NEW SEPT 15),2 GOVER ROAD
314,60_left,17_right,0.324977219,1,5 COMMERCIAL ROAD,5 COMMERCIAL ROAD